,hour,users,messages,date
0,20:57,Alvarito,Isma sal de ahi,25-6-19
1,20:57,Alvarito,Sino caeras,25-6-19
2,21:11,Eku,Q va cabrón,25-6-19
3,21:11,Eku,Cómo voy a caeer,25-6-19
4,21:11,Eku,"Por cierto, ayer el chiringuito, 1h de fútbol femenino",25-6-19
5,21:11,Alvaro,Noooo,25-6-19
6,21:19,Pete,Q sigan q sigan,25-6-19
7,21:19,Pete,Así pierden audiencia,25-6-19
8,21:23,Alvarito,Ahora estan las olimpiadas de tias,25-6-19
9,21:23,Alvarito,Q son nuevas,25-6-19
10,21:23,Jose,De dónde se sacan esa estadistica,25-6-19
11,21:24,Jose,Xke tiene que ser de una manipulación increíble wh,25-6-19
12,21:24,Eku,Eso me pregunto yo,25-6-19
13,21:24,Eku,Pero vamos,25-6-19
14,21:24,Eku,Como una casa,25-6-19
15,21:24,Eku,Además q ya me dirás tú cómo lo miden,25-6-19
16,21:25,Jose,Será... Mujeres con pareja / Número de denuncias,25-6-19
17,21:25,Jose,Y ale,25-6-19
18,21:25,Eku,Que el concepto de agresión ya...,25-6-19
19,21:25,Eku,Y aun así me parece una burrada q salga ese número,25-6-19
20,21:26,Eku,1 de cada 5 denuncia a su pareja? Vamos no jodas,25-6-19
21,23:46,Alvarito,<Multimedia omitido>,25-6-19
22,0:05,Ivan,Estamos ya Jorge,26-6-19
23,0:05,Ivan,Os falta mucho?,26-6-19
24,0:06,Ivan,Para ser martes hay bastantes... chatis,26-6-19
25,0:06,Ivan,Vamos pidiendo o qué?,26-6-19
26,0:19,Alvaro,Jajajaj,26-6-19
27,0:19,Alvaro,"Vaya amago de salir, de los q hacía mucho tiempo que no se veían",26-6-19
28,0:20,Fonseca,Jorge se ha rajado,26-6-19
29,0:27,Ivan,Pues me acabo la copa yo solo,26-6-19
30,1:03,Ivan,Y ya estamos duerme que te duerme tarde,26-6-19
31,1:03,Ivan,"Hola, hola",26-6-19
32,1:04,Ivan,Soy la voz que te recuerda que no se puede cenar fuera entresemana,26-6-19
33,1:04,Ivan,Creo que voy a ir a llamar al telefonillo del Lindo Duende,26-6-19
